,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,Table,Rk,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SEA,SJS,STL,TBL,TOR,VAN,VEG,WPG,WSH
Atlantic Division,,,,,,,,,,,,,,,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Panthers,82,52,24,6,110,.671,268,200,0.81,-0.02,.628,42,42-24-16,.610,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Bruins,82,47,20,15,109,.665,267,224,0.53,0.01,.567,36,36-20-26,.598,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,46,26,10,102,.622,303,263,0.50,0.01,.543,33,33-26-23,.543,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,45,29,8,98,.598,291,268,0.28,0.00,.537,37,37-29-16,.549,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,41,32,9,91,.555,278,274,0.06,0.02,.488,27,27-32-23,.470,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,39,37,6,84,.512,246,244,0.03,0.01,.470,33,33-37-12,.476,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,37,41,4,78,.476,255,281,-0.28,0.04,.421,25,25-41-16,.402,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,30,36,16,76,.463,236,289,-0.59,0.05,.390,20,20-36-26,.402,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Division,,,,,,,,,,,,,,,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Rangers,82,55,23,4,114,.695,282,229,0.61,-0.03,.665,43,43-23-16,.622,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,52,23,7,111,.677,279,216,0.73,-0.04,.652,44,44-23-15,.628,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Islanders,82,39,27,16,94,.573,246,263,-0.18,0.03,.500,29,29-27-26,.512,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Capitals,82,40,31,11,91,.555,220,257,-0.41,0.04,.494,32,32-31-19,.506,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,38,32,12,88,.537,255,251,0.05,0.00,.470,32,32-32-18,.500,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,38,33,11,87,.530,235,261,-0.29,0.03,.457,30,30-33-19,.482,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,38,39,5,81,.494,264,283,-0.22,0.01,.476,33,33-39-10,.463,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,27,43,12,66,.402,237,300,-0.72,0.05,.323,21,21-43-18,.366,Eastern Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Division,,,,,,,,,,,,,,,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Stars,82,52,21,9,113,.689,298,234,0.74,-0.04,.622,40,40-21-21,.616,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,52,24,6,110,.671,259,199,0.69,-0.04,.640,46,46-24-12,.634,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,50,25,7,107,.652,304,254,0.57,-0.05,.610,42,42-25-15,.604,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashville Predators,82,47,30,5,99,.604,269,248,0.23,-0.02,.555,38,38-30-14,.549,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,43,33,6,92,.561,239,250,-0.14,-0.01,.506,31,31-33-18,.488,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,39,34,9,87,.530,251,263,-0.14,0.01,.476,32,32-33-17,.494,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,36,41,5,77,.470,256,274,-0.21,0.01,.427,28,28-41-13,.421,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,23,53,6,52,.317,179,290,-1.29,0.06,.280,17,17-53-12,.280,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Division,,,,,,,,,,,,,,,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,50,23,9,109,.665,279,223,0.64,-0.04,.622,44,44-23-15,.628,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,49,27,6,104,.634,294,237,0.65,-0.04,.591,39,39-27-16,.573,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,44,27,11,99,.604,256,215,0.45,-0.05,.555,37,37-27-18,.561,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegas Golden Knights,82,45,29,8,98,.598,267,245,0.22,-0.05,.537,34,34-29-19,.530,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Flames,82,38,39,5,81,.494,253,271,-0.20,0.02,.488,32,32-39-11,.457,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Kraken,82,34,35,13,81,.494,217,236,-0.26,-0.03,.421,28,28-35-19,.457,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,27,50,5,59,.360,204,295,-1.09,0.02,.335,21,21-50-11,.323,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,19,54,9,47,.287,181,331,-1.78,0.05,.256,14,14-54-14,.256,Western Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Rangers,,,,,,,,,,,,,,,Expanded Standings,1,55-23-4,4-3,8-1,30-11-0,25-12-4,34-14-2,21-9-2,16-6-2,18-8-0,11-4-1,10-5-1,23-4-4,24-14-0,7-2-0,9-2-1,9-5-0,5-7-2,10-1-0,10-3-1,5-3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Stars,,,,,,,,,,,,,,,Expanded Standings,2,52-21-9,4-2,8-7,26-11-4,26-10-5,18-11-3,34-10-6,7-8-1,11-3-2,17-7-2,17-3-4,23-8-9,21-11-0,5-1-1,8-4-2,9-4-1,8-4-2,6-4-3,11-2-0,5-2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,,,,,,,,,,,,,,,Expanded Standings,3,52-23-7,2-5,6-2,27-10-4,25-13-3,35-10-5,17-13-2,19-4-1,16-6-4,8-6-2,9-7-0,17-8-7,25-11-0,6-4-0,7-4-1,7-5-3,8-2-1,8-3-1,11-3-1,5-2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Panthers,,,,,,,,,,,,,,,Expanded Standings,4,52-24-6,3-2,7-4,26-13-2,26-11-4,33-12-5,19-12-1,17-5-4,16-7-1,9-7-0,10-5-1,19-7-6,22-8-0,4-3-1,10-4-1,8-5-0,9-2-2,9-2-0,7-6-1,5-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnipeg Jets,,,,,,,,,,,,,,,Expanded Standings,5,52-24-6,0-1,6-5,27-11-3,25-13-3,19-9-4,33-15-2,10-3-3,9-6-1,20-5-1,13-10-1,15-5-6,21-12-0,4-3-2,8-5-0,10-1-2,8-3-1,7-4-0,7-8-1,8-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancouver Canucks,,,,,,,,,,,,,,,Expanded Standings,6,50-23-9,0-2,6-7,27-9-5,23-14-4,21-7-4,29-16-5,12-3-1,9-4-3,12-7-5,17-9-0,19-7-9,19-11-0,6-2-1,9-6-0,8-2-2,10-1-2,5-6-2,8-3-1,4-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Bruins,,,,,,,,,,,,,,,Expanded Standings,7,47-20-15,4-3,7-12,24-11-6,23-9-9,30-15-5,17-5-10,18-5-3,12-10-2,10-3-3,7-2-7,16-5-15,22-11-0,8-0-1,7-4-2,7-3-3,9-2-3,4-3-5,8-5-1,4-3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Avalanche,,,,,,,,,,,,,,,Expanded Standings,8,50-25-7,2-2,6-5,31-9-1,19-16-6,16-13-3,34-12-4,7-8-1,9-5-2,16-8-2,18-4-2,14-6-7,30-17-0,6-2-0,9-4-1,8-5-2,9-3-0,5-5-2,10-2-1,3-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmonton Oilers,,,,,,,,,,,,,,,Expanded Standings,9,49-27-6,2-1,8-5,28-9-4,21-18-2,19-11-2,30-16-4,8-6-2,11-5-0,12-8-4,18-8-0,14-3-6,27-16-0,2-5-1,7-7-0,9-3-0,11-0-0,6-5-1,10-3-2,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,,,,,,,,,,,,,,,Expanded Standings,10,46-26-10,5-2,8-8,22-15-4,24-11-6,22-20-8,24-6-2,11-12-3,11-8-5,12-2-2,12-4-0,19-6-10,21-11-0,5-3-1,7-3-2,5-4-4,8-4-1,9-3-0,8-5-1,4-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashville Predators,,,,,,,,,,,,,,,Expanded Standings,11,47-30-5,3-0,6-5,23-16-2,24-14-3,19-10-3,28-20-2,8-5-3,11-5-0,16-8-2,12-12-0,18-6-5,18-15-0,4-5-0,7-6-0,9-5-1,6-7-1,8-2-0,9-2-2,4-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Kings,,,,,,,,,,,,,,,Expanded Standings,12,44-27-11,2-5,5-6,22-12-7,22-15-4,17-9-6,27-18-5,8-5-3,9-4-3,12-11-1,15-7-4,15-6-11,26-11-0,5-2-2,8-2-1,7-4-2,3-7-5,7-4-0,8-5-1,6-3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,,,,,,,,,,,,,,,Expanded Standings,13,45-29-8,3-1,5-7,25-11-5,20-18-3,26-19-5,19-10-3,12-9-5,14-10-0,8-7-1,11-3-2,11-3-8,21-13-0,4-2-3,6-7-2,8-6-0,9-3-0,5-6-1,9-1-1,4-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegas Golden Knights,,,,,,,,,,,,,,,Expanded Standings,14,45-29-8,4-2,7-6,27-12-2,18-17-6,15-14-3,30-15-5,6-9-1,9-5-2,16-5-3,14-10-2,17-3-8,20-17-0,9-0-1,6-5-3,7-5-1,7-5-1,4-5-1,8-5-1,4-4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Islanders,,,,,,,,,,,,,,,Expanded Standings,15,39-27-16,1-5,9-11,21-10-10,18-17-6,25-15-10,14-12-6,12-8-4,13-7-6,8-6-2,6-6-4,21-3-16,10-17-0,4-2-2,5-5-4,8-3-3,3-7-3,5-3-2,6-7-1,8-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis Blues,,,,,,,,,,,,,,,Expanded Standings,16,43-33-6,5-2,7-4,25-14-2,18-19-4,16-15-1,27-18-5,9-6-1,7-9-0,11-13-2,16-5-3,17-3-6,15-21-0,3-3-1,9-6-0,6-8-0,8-4-1,4-5-1,9-5-1,4-2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Red Wings,,,,,,,,,,,,,,,Expanded Standings,17,41-32-9,3-1,11-8,23-13-5,18-19-4,25-19-6,16-13-3,15-7-4,10-12-2,7-9-0,9-4-3,18-11-9,15-15-0,6-3-1,6-4-2,5-9-1,9-2-2,7-3-0,3-9-2,5-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Capitals,,,,,,,,,,,,,,,Expanded Standings,18,40-31-11,4-5,4-6,22-12-7,18-19-4,25-18-7,15-13-4,9-9-6,16-9-1,5-8-3,10-5-1,20-2-11,12-24-0,4-3-1,8-3-1,5-5-4,5-7-1,5-4-2,9-5-1,4-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,,,,,,,,,,,,,,,Expanded Standings,19,38-32-12,2-3,4-9,23-14-4,15-18-8,23-18-9,15-14-3,10-10-4,13-8-5,7-7-2,8-7-1,12-10-12,18-13-0,3-6-0,8-4-1,7-3-3,4-4-3,5-5-1,5-8-3,6-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Wild,,,,,,,,,,,,,,,Expanded Standings,20,39-34-9,3-3,4-7,20-16-5,19-18-4,15-11-6,24-23-3,8-5-3,7-6-3,9-14-3,15-9-0,12-11-9,16-17-0,3-4-2,4-6-2,9-5-0,5-8-1,7-3-1,7-3-3,4-5-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,,,,,,,,,,,,,,,Expanded Standings,21,38-33-11,4-3,4-8,20-17-4,18-16-7,19-24-7,19-9-4,9-13-2,10-11-5,10-3-3,9-6-1,17-9-11,12-20-0,4-4-1,7-6-1,8-2-3,6-7-1,6-3-1,5-7-3,2-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo Sabres,,,,,,,,,,,,,,,Expanded Standings,22,39-37-6,2-1,4-5,21-19-1,18-18-5,24-20-6,15-17-0,11-12-3,13-8-3,6-10-0,9-7-0,11-11-6,18-17-0,4-5-0,6-6-2,5-8-2,7-4-0,6-5-0,7-7-1,4-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
